"","clusterSize","clusterSizeEnd","Settings","NrOfNodes"
"1","1.223","NaN","Blossom",10
"2","1.193","NaN","Blossom",10
"3","1.225","NaN","Blossom",10
"4","1.209","NaN","Blossom",10
"5","1.204","2","Blossom",10
"6","1.213","1.667","Blossom",20
"7","1.216","1.5","Blossom",20
"8","1.228","1","Blossom",20
"9","1.213","NaN","Blossom",20
"10","1.205","NaN","Blossom",20
"11","1.336","1.6","Blossom",30
"12","1.337","1.8","Blossom",30
"13","1.334","3","Blossom",30
"14","1.339","1.375","Blossom",30
"15","1.331","1.625","Blossom",30
"16","1.226","1.455","Blossom",40
"17","1.234","1.4","Blossom",40
"18","1.246","1.625","Blossom",40
"19","1.24","1.375","Blossom",40
"20","1.222","1.667","Blossom",40
"21","1.38","2.091","Blossom",50
"22","1.369","1.786","Blossom",50
"23","1.372","1.733","Blossom",50
"24","1.382","1.7","Blossom",50
"25","1.392","1.778","Blossom",50
"26","1.360","1.867","Blossom",60
"27","1.355","1.6","Blossom",60
"28","1.355","2.105","Blossom",60
"29","1.356","2.143","Blossom",60
"30","1.354","2","Blossom",60
"31","1.397","1.826","Blossom",70
"32","1.4","1.722","Blossom",70
"33","1.414","1.913","Blossom",70
"34","1.398","1.759","Blossom",70
"35","1.398","2.136","Blossom",70
"36","1.414","1.967","Blossom",80
"37","1.416","1.971","Blossom",80
"38","1.418","2.097","Blossom",80
"39","1.411","1.967","Blossom",80
"40","1.411","1.613","Blossom",80
"41","1.377","2.0","Blossom",90
"42","1.378","1.705","Blossom",90
"43","1.385","1.85","Blossom",90
"44","1.38","2.211","Blossom",90
"45","1.378","1.943","Blossom",90
"46","1.389","1.955","Blossom",100
"47","1.387","1.861","Blossom",100
"48","1.388","2.189","Blossom",100
"49","1.385","2.047","Blossom",100
"50","1.384","2.064","Blossom",100
